45328_AB000381 1 73
45328_AB000381 683 790
45328_AB000381 6093 6388


45331_AB001517 1 18
45331_AB001517 1568 1680
45331_AB001517 6337 6431
45331_AB001517 6763 6862
45331_AB001517 7209 7352
45331_AB001517 7848 7983
45331_AB001517 8275 8504
45331_AB001517 10404 10547
45331_AB001517 11347 11417
45331_AB001517 11971 12107
45331_AB001517 12932 13080
45331_AB001517 13215 13362
45331_AB001517 13536 13686
45331_AB001517 14761 14941
45331_AB001517 17164 17311
45331_AB001517 18595 18703
45331_AB001517 19484 19549
45331_AB001517 20516 20734
45331_AB001517 20831 20981
45331_AB001517 21136 21210
45331_AB001517 23182 23356


45333_AB001517 1 141
45333_AB001517 405 457
45333_AB001517 2363 2476
45333_AB001517 3480 3599
45333_AB001517 9508 9664

45334_AB001523 1 67
45334_AB001523 19598 19679
45334_AB001523 25299 25434
45334_AB001523 39787 39983
45334_AB001523 43205 43400
45334_AB001523 46610 46721
45334_AB001523 51045 51292
45334_AB001523 61831 61977
45334_AB001523 62546 62660
45334_AB001523 64059 64135
45334_AB001523 65200 65291
45334_AB001523 67071 67211
45334_AB001523 67522 67634
45334_AB001523 70295 70809
45334_AB001523 71629 71770
45334_AB001523 74309 74467
45334_AB001523 75206 75435
45334_AB001523 77340 77440
45334_AB001523 79430 79556
45334_AB001523 81570 81740
45334_AB001523 85864 86041
45334_AB001523 90288 90482
45334_AB001523 90803 91041


45345_AB002059 1 134
45345_AB002059 738 888
45345_AB002059 2784 2855
45345_AB002059 7470 7545
45345_AB002059 7736 7829
45345_AB002059 7912 7992
45345_AB002059 8069 8210
45345_AB002059 8303 8412
45345_AB002059 10603 10696
45345_AB002059 10809 10874
45345_AB002059 11050 11127
45345_AB002059 11218 11415

45349_AB003185 1 409
45349_AB003185 2938 3365

45352_AB003312 1 109
45352_AB003312 620 674

45370_AB004057 1 109
45370_AB004057 211 373
45370_AB004057 462 568


45374_AB004907 1 116
45374_AB004907 1935 2154
45374_AB004907 2737 2864
45374_AB004907 19443 19562


45378_AB005548 1 58
45378_AB005548 673 863
45378_AB005548 1059 1115

45380_AB005803 1 183
45380_AB005803 2905 3021
45380_AB005803 3908 3998
45380_AB005803 5592 5758
45380_AB005803 6755 6835
45380_AB005803 9057 9158
45380_AB005803 11012 11848


45382_AB006684 1 132
45382_AB006684 551 725
45382_AB006684 972 1127
45382_AB006684 1511 1585
45382_AB006684 2339 2452
45382_AB006684 3651 3796
45382_AB006684 3982 4062
45382_AB006684 5089 5204
45382_AB006684 6296 6395
45382_AB006684 6987 7169
45382_AB006684 7783 7904
45382_AB006684 8394 8496
45382_AB006684 10376 10438
45382_AB006684 11649 11720

45383_AB006684 1 404
45383_AB006684 1496 1595
45383_AB006684 2187 2219
45383_AB006684 2302 2369
45383_AB006684 2983 3104
45383_AB006684 3594 3631


45387_AB006987 1 195
45387_AB006987 845 1035
45387_AB006987 1544 1746
45387_AB006987 1832 2032
45387_AB006987 2117 2289
45387_AB006987 2493 2665
45387_AB006987 2867 2945
45387_AB006987 3235 3432
45387_AB006987 3788 3901


45391_AB007147 1 73
45391_AB007147 300 460


45393_AB007149 1 99
45393_AB007149 186 254

45394_AB007150 1 70
45394_AB007150 276 398

45395_AB007151 1 129
45395_AB007151 362 467


45397_AB007156 1 27
45397_AB007156 451 605

45398_AB007157 1 54
45398_AB007157 223 294
45398_AB007157 687 722

45399_AB007158 1 36
45399_AB007158 182 323

45400_AB007162 1 100
45400_AB007162 445 550

45401_AB007163 1 30
45401_AB007163 496 618

45402_AB007166 1 66
45402_AB007166 390 509
45402_AB007166 716 743

45403_AB007168 1 126
45403_AB007168 204 345
45403_AB007168 623 745



45406_AB007172 1 48
45406_AB007172 541 687

45407_AB007175 1 108
45407_AB007175 252 344

45408_AB007176 1 24
45408_AB007176 126 195

45409_AB007179 1 102
45409_AB007179 298 356

45410_AB007180 1 113
45410_AB007180 393 423

45411_AB007181 1 56
45411_AB007181 137 217

45412_AB007185 1 88
45412_AB007185 584 609

45413_AB007186 1 12
45413_AB007186 401 423
45413_AB007186 695 712

45414_AB007187 1 141
45414_AB007187 531 670

45415_AB007546 1 46
45415_AB007546 1866 1962
45415_AB007546 3465 3610
45415_AB007546 7339 7505


45420_AB009589 1 940
45420_AB009589 2085 2410

45432_AB010874 1 12
45432_AB010874 402 424
45432_AB010874 700 742


45437_AB012229 1 124
45437_AB012229 1594 1690
45437_AB012229 2498 2564
45437_AB012229 3082 3156
45437_AB012229 3510 3677


45441_AB012661 1 112
45441_AB012661 539 705

45442_AB012668 1 13
45442_AB012668 267 1282

45444_AB012922 1 28
45444_AB012922 762 829
45444_AB012922 1192 1285
45444_AB012922 2812 2929
45444_AB012922 3061 3124
45444_AB012922 3310 3427
45444_AB012922 3739 3841
45444_AB012922 4036 4135
45444_AB012922 4626 4814
45444_AB012922 4919 4993
45444_AB012922 5114 5172
45444_AB012922 5344 5441
45444_AB012922 5560 5699
45444_AB012922 5959 6187
45444_AB012922 6381 6470
45444_AB012922 6817 6935
45444_AB012922 7044 7192
45444_AB012922 7411 7576

45447_AB013139 1 37
45447_AB013139 1707 1840
45447_AB013139 3039 3187
45447_AB013139 3669 3828
45447_AB013139 6239 6342
45447_AB013139 13272 13389
45447_AB013139 14005 14198
45447_AB013139 20055 20152
45447_AB013139 25708 25837
45447_AB013139 29007 29279
45447_AB013139 30871 31318
45447_AB013139 36670 36738
45447_AB013139 38267 38422
45447_AB013139 41196 41309
45447_AB013139 47487 47536
45447_AB013139 48950 48980


45452_AB014460 1 115
45452_AB014460 1458 1696
45452_AB014460 3025 3195
45452_AB014460 4099 4258
45452_AB014460 7587 7692
45452_AB014460 7778 7901


45460_AB016194 1 210
45460_AB016194 2104 2547
45460_AB016194 3260 3691
45460_AB016194 4327 4428
45460_AB016194 4514 4612



45463_AB016492 1 83
45463_AB016492 237 274
45463_AB016492 475 557
45463_AB016492 1345 1424
45463_AB016492 2402 2558


45465_AB016625 1 393
45465_AB016625 8416 8519
45465_AB016625 14189 14343
45465_AB016625 15370 15541
45465_AB016625 17062 17188
45465_AB016625 18958 19058
45465_AB016625 20727 20941
45465_AB016625 22470 22652
45465_AB016625 23714 23849
45465_AB016625 24223 24310

45466_AB016767 1 219
45466_AB016767 324 1674

45467_AB017018 1 443
45467_AB017018 1244 1412
45467_AB017018 1515 1676
45467_AB017018 2130 2261
45467_AB017018 2390 2504
45467_AB017018 3069 3239
45467_AB017018 3574 3644


45471_AB017333S3 1 192
45471_AB017333S3 277 1127
45471_AB017333S3 1531 1594
45471_AB017333S3 1871 2042
45471_AB017333S3 3378 3532

45472_AB017547 1 304
45472_AB017547 883 1173

45474_AB017568 1 8
45474_AB017568 394 443
45474_AB017568 606 721
45474_AB017568 1059 1160
45474_AB017568 1430 1625
45474_AB017568 1865 1952
45474_AB017568 2404 2462
45474_AB017568 2606 2700
45474_AB017568 2946 3074
45474_AB017568 3267 3356

45475_AB017586 1 864
45475_AB017586 1664 1793
45475_AB017586 2184 2347
45475_AB017586 3278 3480
45475_AB017586 3869 4047
45475_AB017586 4197 4453


45477_AB018249 1 76
45477_AB018249 3158 3278
45477_AB018249 3690 3855



































45514_AB020236 1 3
45514_AB020236 389 452
45514_AB020236 1192 1267
45514_AB020236 1904 2078
45514_AB020236 2863 2991

45517_AB021866 1 51
45517_AB021866 183 217
45517_AB021866 1531 1639
45517_AB021866 2351 2501
45517_AB021866 2641 2759
45517_AB021866 2832 2920
45517_AB021866 3350 3371

45518_AB022430 1 61
45518_AB022430 1994 2086
45518_AB022430 2707 2976
45518_AB022430 4292 4471
45518_AB022430 5176 5490
45518_AB022430 6288 6396
45518_AB022430 7731 7888
45518_AB022430 10666 13034

45520_AB024745 1 49
45520_AB024745 331 494
45520_AB024745 576 652
45520_AB024745 1522 1582
45520_AB024745 1746 1892
45520_AB024745 2018 2145
45520_AB024745 2396 2401
45520_AB024745 2544 2658
45520_AB024745 2796 2880
45520_AB024745 3144 3227
45520_AB024745 3491 3606
45520_AB024745 3741 3932
45520_AB024745 5424 5660

45523_AB026898 1 378
45523_AB026898 8412 8515
45523_AB026898 8744 8898
45523_AB026898 9129 9297
45523_AB026898 9510 9630
45523_AB026898 9718 9812
45523_AB026898 10022 10236
45523_AB026898 10427 10535
45523_AB026898 11052 11267
45523_AB026898 11512 11605

45524_AB026898 1 516
45524_AB026898 1227 1330
45524_AB026898 1540 1694
45524_AB026898 2844 3012
45524_AB026898 6889 7009
45524_AB026898 7278 7375
45524_AB026898 7637 7851
45524_AB026898 9469 9622
45524_AB026898 10235 10435
45524_AB026898 12108 12159






45530_AB029885 1 224
45530_AB029885 425 533
45530_AB029885 920 1033
45530_AB029885 1229 1362
45530_AB029885 2122 2217
45530_AB029885 2366 2424
45530_AB029885 2511 2592
45530_AB029885 2700 2808
45530_AB029885 2952 3055
45530_AB029885 3275 3356
45530_AB029885 3525 3599


45566_D49493 1 319
45566_D49493 9145 10070
45566_D49493 11950 12141

45569_D50030 1 117
45569_D50030 720 900
45569_D50030 1038 1134
45569_D50030 1329 1408
45569_D50030 2025 2147
45569_D50030 2294 2425
45569_D50030 2606 2716
45569_D50030 2802 2976
45569_D50030 3249 3334
45569_D50030 4025 4277
45569_D50030 5473 5612
45569_D50030 5874 6014
45569_D50030 6104 6252
45569_D50030 7206 7388



45577_D63789 1 61
45577_D63789 1858 1972
45577_D63789 2845 3013


45580_D63861 1 85
45580_D63861 1806 1946
45580_D63861 3998 4104
45580_D63861 6084 6272
45580_D63861 7599 7721
45580_D63861 7880 7986
45580_D63861 10022 10163
45580_D63861 12434 12520
45580_D63861 12612 12654
45580_D63861 13456 13544

45584_D67013 1 213
45584_D67013 2543 2653
45584_D67013 3301 3385
45584_D67013 4045 4208
45584_D67013 5396 5497
45584_D67013 6717 6800
45584_D67013 7445 7789









45604_D84344S3 1 180
45604_D84344S3 292 469
45604_D84344S3 766 868
45604_D84344S3 1199 1343

45606_D85429 1 211
45606_D85429 1304 1884
45606_D85429 2180 2410

45608_D86077 1 264
45608_D86077 1807 2060
45608_D86077 2615 2693
45608_D86077 2774 2872
45608_D86077 3103 3244

45621_D86566 1 73
45621_D86566 843 924
45621_D86566 1123 1418
45621_D86566 2602 2949
45621_D86566 3049 3171
45621_D86566 3286 3522
45621_D86566 3643 3798
45621_D86566 4141 4335
45621_D86566 5819 5932
45621_D86566 6661 6774
45621_D86566 6860 6982
45621_D86566 8536 8695
45621_D86566 9693 9838
45621_D86566 10108 10260
45621_D86566 10696 10813
45621_D86566 11037 11124
45621_D86566 11321 11474
45621_D86566 13009 13193

45623_D87675 1 57
45623_D87675 54974 55141
45623_D87675 77049 77178
45623_D87675 113773 113885
45623_D87675 115928 116121
45623_D87675 145079 145281
45623_D87675 166940 167107
45623_D87675 169706 169762
45623_D87675 184647 184780
45623_D87675 191096 191170
45623_D87675 191896 192054
45623_D87675 211368 211496
45623_D87675 212434 212533
45623_D87675 255163 255384
45623_D87675 262048 262101
45623_D87675 269452 269552
45623_D87675 275257 275403
45623_D87675 285355 285456

45625_D88010 1 23
45625_D88010 165 213
45625_D88010 396 474
45625_D88010 2015 2184
45625_D88010 2441 2541
45625_D88010 3171 3204

45630_D89060 1 205
45630_D89060 413 523
45630_D89060 5224 5310
45630_D89060 5632 5735
45630_D89060 5877 5971
45630_D89060 6705 6798
45630_D89060 7040 7188
45630_D89060 7639 7786
45630_D89060 8443 8563
45630_D89060 8688 8794
45630_D89060 8887 9036

45631_D89501 1 54
45631_D89501 4528 4878

45669_HOS223093 1 269
45669_HOS223093 885 1248

45670_HOS223093 1 269
45670_HOS223093 885 1019
45670_HOS223093 1249 1387






45681_HS2OXOC 1 95
45681_HS2OXOC 698 850
45681_HS2OXOC 935 1141
45681_HS2OXOC 1310 1400
45681_HS2OXOC 1483 1673
45681_HS2OXOC 1753 1804
45681_HS2OXOC 1931 2086

45684_HSA005577 1 82
45684_HSA005577 7177 7302
45684_HSA005577 7845 7941
45684_HSA005577 8368 8434
45684_HSA005577 8572 8646
45684_HSA005577 8998 9054
45684_HSA005577 10275 10399
45684_HSA005577 12742 12949
45684_HSA005577 13408 13554
45684_HSA005577 14668 14772
45684_HSA005577 15527 15656
45684_HSA005577 16435 16497
45684_HSA005577 16755 16819
45684_HSA005577 17450 17617

45687_HSA007973 1 99
45687_HSA007973 12193 12321
45687_HSA007973 14909 15064
45687_HSA007973 16591 16682

45691_HSA010770 1 48
45691_HSA010770 29374 29409
45691_HSA010770 32612 32869
45691_HSA010770 39190 39234
45691_HSA010770 51059 51112
45691_HSA010770 51786 51956
45691_HSA010770 53522 53677
45691_HSA010770 54504 54701
